What is the date today,วันนี้เป็นวันที่เท่าไหร่
Today is the 14 of July,วันนี้เป็นวันที่ 14 กรกฎาคม
What day is today,วันนี้เป็นวันอะไร
Today is Monday,วันนี้เป็นวันจันทร์
What day is tomorrow,พรุ่งนี้เป็นวันอะไร
Tomorrow is Tuesday,พรุ่งนี้วันอังคาร
What day was yesterday,เมื่อวานนี้เป็นวันอะไร
Yesterday was Sunday,เมื่อวานเป็นวันอาทิตย์
When is your Birthday,วันเกิดของคุณคือวันที่เท่าไหร่
My birthday is on February,14 2013,วันเกิดฉันคือวันที่ 14 กุมภาพันธ์ 2013
What day is Christmas,วันคริสมาสคือวันอะไร
It is the 25 of December,วันที่ 25 ธันวาคม
