translator,ล่าม
photographer,ช่างภาพ
dancer,นักเต้น
cook,พ่อครัว/แม่ครัว
receptionist,พนักงานต้อนรับ
model,นายแบบ/นางแบบ
fisherman,ชาวประมง
pharmacist,เภสัชกร
steward,พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)
artist,ศิลปิน
teacher,คุณครู
president,ประธานาธิบดี
waiter,พนักงานเสริ์ฟชาย
waitress,พนักงานเสริ์ฟหญิง
bus driver,คนขับรถบัส
veterinarian,สัตวแพทย์
building contractor,ผู้รับเหมาก่อสร้าง
scientist,นักวิทยาศาสตร์
actor,นักแสดง
traffic cop,ตํารวจจราจร
guide,มัคคุเทศก์
pilot,นักบิน
postman,บุรุษไปรษณีย์
hairdresser,ช่างทําผม
farmer,เกษตรกร
air hostess,พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)
lawyer,ทนาย
taxi driver,คนขับแท็กซี่
programmer,โปรแกรมเมอร์
engineer,วิศวกร
architect,สถาปนิก
secretary,เลขานุการ
news reporter,นักข่าว
soldier,ทหาร
cashier,แคชเชียร์
nurse,พยาบาล
accountant,นักบัญชี
musician,นักดนตรี
prime minister,นายกรัฐมนตรี
politician,นักการเมือง
dentist,หมอฟัน
designer,นักออกแบบ
singer,นักร้อง
judge,ผู้พิพากษา
gardener,คนสวน
actress,นักแสดง
policeman,ตํารวจ
seller,พนักงานขาย
carpenter,ช่างไม้
astronaut,นักบินอวกาศ
doctor,หมอ
